FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SOLD_PRODUCTS,Prodotti venduti,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2024-11,140.4,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2024-12,130.7,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2025-01,132.9,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2025-02,134,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2025-03,131.9,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2020-01,100.5,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2020-02,100.7,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2020-03,101.1,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2020-04,101.4,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2020-05,100.4,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2020-06,100,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2020-07,99.3,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2020-08,98,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2020-09,97.7,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2020-10,98.7,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2020-11,100.5,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2020-12,100.9,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2021-01,102.5,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2021-02,103.9,,
